id,name,latitude,longitude,blood_type,stock
123,Bolangir Hospital A-,20.723723107560197,83.46448148001483,A-,8
124,Bolangir Hospital A+,20.71832366796907,83.49860322038576,A+,0
125,Bolangir Hospital B-,20.721733047859594,83.50030734602637,B-,2
126,Bolangir Hospital B+,20.7189278370569,83.46579823249355,B+,2
127,Bolangir Hospital AB-,20.699070197401813,83.46872664819918,AB-,6
128,Bolangir Hospital AB+,20.69674328972982,83.48670012230608,AB+,10
129,Sundargarh Hospital O-,22.110564228953436,84.05149842408906,O-,10
130,Sundargarh Hospital O+,22.134659573613778,84.04261435490166,O+,1
131,Sundargarh Hospital A-,22.11363031452675,84.03244250953716,A-,10
132,Sundargarh Hospital A+,22.115129971086322,84.02766576870255,A+,6
133,Sundargarh Hospital B-,22.096911160983606,84.02978183396635,B-,3
134,Sundargarh Hospital B+,22.11809920619242,84.0462510369315,B+,0
135,Sundargarh Hospital AB-,22.131988007622844,84.03130566735193,AB-,6
136,Sundargarh Hospital AB+,22.112274647540193,84.02777372297949,AB+,2
137,Nayagarh Hospital O-,20.116650360938674,85.09093924830452,O-,1
138,Nayagarh Hospital O+,20.11797005856748,85.10954734000698,O+,4
139,Nayagarh Hospital A-,20.132959474123425,85.08881319483795,A-,4
140,Nayagarh Hospital A+,20.12288829166924,85.08946369610226,A+,3
141,Nayagarh Hospital B-,20.13582146985058,85.10254460556789,B-,8
142,Nayagarh Hospital B+,20.111930488766916,85.11362294852125,B+,3
143,Nayagarh Hospital AB-,20.11214941219823,85.09722921084872,AB-,1
144,Nayagarh Hospital AB+,20.141451441366616,85.10200555844489,AB+,6
145,Malkangiri Hospital O-,18.36498212006983,82.1503052955625,O-,8
146,Malkangiri Hospital O+,18.35325689814912,82.13718246152966,O+,7
147,Malkangiri Hospital A-,18.37567052952563,82.14329715012903,A-,7
148,Malkangiri Hospital A+,18.35708579495643,82.15204966330508,A+,1
149,Malkangiri Hospital B-,18.364472120331605,82.11929995231458,B-,6
150,Malkangiri Hospital B+,18.361947467125606,82.1546768531886,B+,6
151,Malkangiri Hospital AB-,18.36859458242132,82.119636970167,AB-,0
152,Malkangiri Hospital AB+,18.35817037932836,82.14442811739727,AB+,6
153,Khordha Hospital O-,20.191436533658266,85.6402928848742,O-,4
154,Khordha Hospital O+,20.184382701864468,85.6227916876969,O+,1
155,Khordha Hospital A-,20.19362138618635,85.610109358515,A-,8
156,Khordha Hospital A+,20.171500621987207,85.62175672651553,A+,0
157,Khordha Hospital B-,20.170103893826926,85.60995377104518,B-,3
158,Khordha Hospital B+,20.17032313058217,85.60801033731883,B+,6
159,Khordha Hospital AB-,20.17195937430224,85.62524057863328,AB-,7
160,Khordha Hospital AB+,20.185911169266635,85.62274587863698,AB+,9
